distance;force;result;datetime
7,699039;0,7184811;0;28.587822
7,537105;0,7184811;0;30.250163
12,14586;0,7184811;0;31.934066
6,132665;0,7184811;0;33.584712
10,12426;0,7184811;0;35.235126
7,013155;0,7184811;0;36.888193
5,954171;0,7184811;0;38.556097
9,661867;0,7184811;0;40.228396
10,54543;0,7184811;8.938573;43.291797
11,37329;0,7184811;9.692294;45.9753
12,86937;0,7184811;0;47.633862
6,875965;0,7184811;0;49.29158
8,540825;0,7184811;0;50.955674
11,89975;0,7184811;10.22715;53.615987
13,23228;0,7184811;11.35516;56.998945
12,81596;0,7184811;0;58.64434
13,8594;0,7184811;12.08;58.709704
10,69458;0,7184811;9.097387;61.323509
7,045971;0,7184811;0;62.998391
8,68092;0,7184811;0;64.650629
9,525072;0,7184811;0;66.337276
11,58765;0,7184811;9.74219;68.93734
13,89888;0,7184811;12.07236;70.924465
13,26835;0,7184811;11.37544;74.303275
11,44207;0,7184811;9.601235;76.906822
7,167477;0,7184811;0;78.563258
5,983887;0,7184811;0;80.213965
8,367123;0,7184811;0;81.871031
10,59193;0,7184811;0;83.524328
14,12171;0,7184811;12.21274;85.504551
8,576986;0,7184811;0;87.172148
8,345415;0,7184811;0;88.822381
10,40552;0,7184811;0;90.473061
13,87029;0,7184811;12.12081;92.453402
9,383274;0,7184811;0;94.127851
5,752833;0,7184811;4.786551;94.188583
9,884353;0,7184811;0;95.870455
8,143033;0,7184811;0;97.525853
13,10072;0,7184811;0;100.640277
6,865501;0,7184811;0;102.293603
9,451984;0,7184811;0;103.966279
7,407489;0,7184811;0;105.605048
5,547819;0,7184811;0;107.253924
9,894576;0,7184811;0;108.936729
11,20711;0,7184811;9.541202;111.594595
8,554982;0,7184811;0;113.250871
