distance;force;result;datetime
9.08511;-3.248249;7.482287;6.055322
9.08511;-3.031392;7.482287;6.124118
9.08511;-2.841088;7.482287;6.191935
9.08511;-2.672075;7.482287;6.26075
9.08511;-2.52046;7.482287;6.328568
9.08511;-2.38328;7.482287;6.396396
9.08511;-2.258237;7.482287;6.465248
9.08511;-2.14351;7.482287;6.532026
9.08511;-2.037634;7.482287;6.599844
9.08511;-1.939416;7.482287;6.670116
9.08511;-1.847871;7.482287;6.737935
9.08511;-1.762174;7.482287;6.805723
9.08511;-1.681633;7.482287;6.872577
9.08511;-1.605659;7.482287;6.941393
9.08511;-1.533747;7.482287;7.009775
9.08511;-1.465462;7.482287;7.077564
9.08511;-1.400426;7.482287;7.14566
9.08511;-1.338309;7.482287;7.212969
9.08511;-1.278821;7.482287;7.286765
9.08511;-1.221707;7.482287;7.355124
9.08511;-1.166741;7.482287;7.422941
9.08511;-1.113721;7.482287;7.490761
9.08511;-1.062467;7.482287;7.558611
9.08511;-1.012819;7.482287;7.627397
9.08511;-0.9646314;7.482287;7.69325
9.08511;-0.9177742;7.482287;7.763033
9.08511;-0.8721293;7.482287;7.830883
9.08511;-0.82759;7.482287;7.901665
9.08511;-0.7840593;7.482287;7.969492
9.08511;-0.7414493;7.482287;8.035309
9.08511;-0.6996797;7.482287;8.104155
9.08511;-0.6586771;7.482287;8.17194
9.08511;-0.6183748;7.482287;8.239824
9.08511;-0.5787116;7.482287;8.308641
9.08511;-0.5396316;7.482287;8.377024
9.08511;-0.5010835;7.482287;8.444844
9.08511;-0.4630203;7.482287;8.515705
9.08511;-0.4253991;7.482287;8.583474
9.08511;-0.3881803;7.482287;8.651359
9.08511;-0.351328;7.482287;8.719665
9.08511;-0.3148089;7.482287;8.787519
9.08511;-0.2785929;7.482287;8.85481
9.08511;-0.242652;7.482287;8.923596
9.08511;-0.206961;7.482287;8.992442
9.08511;-0.1714969;7.482287;9.06026
9.08511;-0.1362382;7.482287;9.145036
9.08511;-0.1011663;7.482287;9.212821
9.08511;-0.06626344;7.482287;9.280672
9.08511;-0.03151399;7.482287;9.350496
9.08511;0.003096223;7.482287;14.525377
9.08511;0.03758001;7.482287;19.703943
9.08511;0.07194877;7.482287;24.87838
9.08511;0.1062127;7.482287;30.055176
9.08511;0.1403809;7.482287;35.23301
9.08511;0.174461;7.482287;40.412413
9.08511;0.2084602;7.482287;45.591061
9.08511;0.2423841;7.482287;50.765352
9.08511;0.276238;7.482287;55.939659
9.08511;0.310026;7.482287;61.116533
9.08511;0.3437517;7.482287;66.292846
9.08511;0.3774175;7.482287;71.47127
9.08511;0.4110257;7.482287;76.647994
9.08511;0.4445774;7.482287;81.824049
9.08511;0.4780736;7.482287;86.998084
9.08511;0.5115147;7.482287;92.175955
9.08511;0.5449004;7.482287;97.350042
9.08511;0.5782301;2.327259;98.961942
9.08511;0.5835363;2.234511;100.57411
9.08511;0.588316;2.04796;102.204555
9.08511;0.5920638;1.954867;103.866633
9.08511;0.5952897;1.955599;105.512766
9.08511;0.5985042;1.862287;107.177004
9.08511;0.6011978;1.768841;108.841784
9.08511;0.6033719;1.769583;110.520844
9.08511;0.6055396;1.675802;112.201656
9.08511;0.6071883;1.676391;113.881823
9.08511;0.608832;1.582542;115.562296
9.08511;0.6099588;1.582766;117.243013
9.08511;0.6110811;1.58318;118.956234
9.08511;0.6122003;1.583782;120.653464
9.08511;0.6133171;1.489467;122.376611
9.08511;0.6139169;1.48958;124.085056
9.08511;0.6145143;1.489751;125.798082
9.08511;0.6151094;1.489981;127.494955
9.08511;0.6157029;1.490269;129.209285
9.08511;0.6162952;1.490614;130.921741
9.08511;0.6168861;1.491017;132.618621
9.08511;0.6174764;1.396343;134.314301
9.08511;0.6175501;1.39635;136.029708
9.08511;0.6176233;1.396358;137.742508
9.08511;0.6176962;1.396367;139.439351
9.08511;0.6177688;1.396377;141.136537
9.08511;0.6178412;1.396387;142.835527
9.08511;0.6179131;1.396399;144.54981
9.08511;0.617985;1.396412;146.264249
9.08511;0.6180562;1.396425;147.995674
9.08511;0.6181276;1.396439;149.727761
9.08511;0.6181983;1.396455;151.459685
9.08511;0.6182687;1.396471;153.175064
9.08511;0.6183391;1.396487;154.90774
9.08511;0.6184092;1.396505;156.636579
9.08511;0.6184788;1.396524;158.354304
9.08511;0.6185483;1.396543;160.087635
9.08511;0.6186177;1.396563;161.817583
9.08511;0.6186867;1.396584;163.549157
9.08511;0.6187553;1.396606;165.279846
9.08511;0.6188239;1.396628;167.009831
9.08511;0.6188923;1.396652;168.740745
9.08511;0.6189604;1.396676;170.45279
9.08511;0.6190282;1.396701;172.187105
9.08511;0.6190959;1.396726;173.916261
9.08511;0.6191633;1.396753;175.648052
9.08511;0.6192305;1.39678;177.380716
9.08511;0.6192976;1.396808;179.093271
9.08511;0.6193645;1.396837;180.826889
9.08511;0.6194312;1.396866;182.557697
9.08511;0.6194978;1.396896;184.289872
9.08511;0.619564;1.396927;186.022705
9.08511;0.6196303;1.396958;187.736569
9.08511;0.6196963;1.396991;189.469715
9.08511;0.6197622;1.397024;191.199827
9.08511;0.6198278;1.397057;192.921254
9.08511;0.6198933;1.397092;194.633589
9.08511;0.6199587;1.397127;196.364433
9.08511;0.6200242;1.397163;198.095464
9.08511;0.6200894;1.397199;199.825782
9.08511;0.6201543;1.397236;201.556198
9.08511;0.6202192;1.397274;203.287544
9.08511;0.6202837;1.397313;205.019065
9.08511;0.6203484;1.397352;206.735023
9.08511;0.6204129;1.397392;208.465073
9.08511;0.6204774;1.397433;210.198322
9.08511;0.6205417;1.397475;211.929813
9.08511;0.6206059;1.397517;213.660923
9.08511;0.62067;1.39756;215.373914
9.08511;0.620734;1.397603;217.105836
9.08511;0.6207981;1.397647;218.83503
9.08511;0.6208618;1.397692;220.568524
9.08511;0.6209256;1.397738;222.299363
9.08511;0.6209895;1.397784;224.013134
9.08511;0.6210532;1.397831;225.745622
9.08511;0.6211166;1.397878;227.475504
9.08511;0.6211802;1.397927;229.208265
9.08511;0.6212438;1.397976;230.938592
9.08511;0.6213073;1.398026;232.668584
9.08511;0.6213706;1.398076;234.399197
9.08511;0.621434;1.398127;236.129135
9.08511;0.6214973;1.398179;237.859692
9.08511;0.6215605;1.398231;239.590033
9.08511;0.6216236;1.303233;241.321807
9.08511;0.6211708;1.39792;243.03418
9.08511;0.6212345;1.397969;244.765817
9.08511;0.6212978;1.398018;246.498215
9.08511;0.6213613;1.398069;248.228201
9.08511;0.6214247;1.39812;249.958433
9.08511;0.621488;1.398171;251.690113
9.08511;0.6215511;1.398224;253.420959
9.08511;0.6216144;1.303233;255.134653
9.08511;0.6211618;1.397913;256.865223
9.08511;0.6212253;1.397961;258.595891
9.08511;0.6212887;1.398011;260.327168
9.08511;0.6213521;1.398061;262.057622
9.08511;0.6214156;1.398112;263.787621
9.08511;0.6214789;1.398164;265.518186
9.08511;0.621542;1.398216;267.248979
9.08511;0.6216052;1.303233;268.979177
9.08511;0.6211526;1.397906;270.70986
9.08511;0.6212161;1.397954;272.442286
9.08511;0.6212798;1.398004;274.156719
9.08511;0.6213432;1.398054;275.888417
9.08511;0.6214065;1.398105;277.620029
9.08511;0.6214699;1.398156;279.334658
9.08511;0.6215331;1.398209;281.065379
9.08511;0.6215963;1.303233;282.79601
9.08511;0.6211436;1.397899;284.528832
9.08511;0.6212072;1.397947;286.26067
9.08511;0.6212707;1.397997;287.975346
9.08511;0.6213341;1.398047;289.706014
9.08511;0.6213976;1.398098;291.437041
9.08511;0.6214611;1.398149;293.167602
9.08511;0.6215242;1.398201;294.89825
9.08511;0.6215872;1.398254;296.6299
9.08511;0.6216503;1.303234;298.361782
9.08511;0.6211976;1.39794;300.076463
9.08511;0.6212611;1.397989;301.808196
9.08511;0.6213245;1.398039;303.538149
9.08511;0.621388;1.39809;305.267192
9.08511;0.6214514;1.398141;306.99841
9.08511;0.6215146;1.398193;308.731187
9.08511;0.6215779;1.398246;310.461324
9.08511;0.621641;1.303234;312.174119
9.08511;0.6211881;1.397933;313.906198
9.08511;0.6212518;1.397982;315.647335
9.08511;0.6213152;1.398032;317.382135
9.08511;0.6213786;1.398082;319.097752
9.08511;0.621442;1.398134;320.818903
9.08511;0.6215053;1.398185;322.5356
9.08511;0.6215684;1.398238;324.258855
9.08511;0.6216317;1.303234;325.974863
9.08511;0.6211788;1.397926;327.708512
9.08511;0.6212423;1.397975;329.44482
9.08511;0.6213059;1.398024;331.179208
9.08511;0.6213691;1.398075;332.920004
9.08511;0.6214325;1.398126;334.63418
9.08511;0.621496;1.398178;336.360846
9.08511;0.6215592;1.39823;338.084515
9.08511;0.6216221;1.303233;339.829842
9.08511;0.6211697;1.397919;341.555734
9.08511;0.6212333;1.397968;343.278289
9.08511;0.6212968;1.398017;344.998662
9.08511;0.6213602;1.398068;346.718077
9.08511;0.6214235;1.398119;348.451502
9.08511;0.6214871;1.39817;350.189396
9.08511;0.6215501;1.398223;351.92254
9.08511;0.6216133;1.303233;353.655958
9.08511;0.6211608;1.397912;355.378766
9.08511;0.6212242;1.397961;357.108929
9.08511;0.6212878;1.39801;358.839546
9.08511;0.6213513;1.398061;360.555505
9.08511;0.6214147;1.398111;362.287751
9.08511;0.6214779;1.398163;364.024729
9.08511;0.6215412;1.398215;365.760822
9.08511;0.6216044;1.303233;367.475217
9.08511;0.6211516;1.397905;369.208652
9.08511;0.6212153;1.397954;370.938635
9.08511;0.6212788;1.398003;372.670277
9.08511;0.6213422;1.398053;374.399701
9.08511;0.6214057;1.398104;376.11379
9.08511;0.6214691;1.398156;377.846367
9.08511;0.6215321;1.398208;379.578902
9.08511;0.6215954;1.303233;381.298268
9.08511;0.6211427;1.397898;383.026684
9.08511;0.6212063;1.397947;384.755282
9.08511;0.6212699;1.397996;386.48681
9.08511;0.6213332;1.398046;388.21761
9.08511;0.6213967;1.398097;389.938247
9.08511;0.6214601;1.398148;391.669032
9.08511;0.6215234;1.398201;393.400658
9.08511;0.6215864;1.398253;395.112536
9.08511;0.6216497;1.303234;396.846882
9.08511;0.6211969;1.397939;398.57824
9.08511;0.6212605;1.397989;400.309718
9.08511;0.6213239;1.398039;402.040456
9.08511;0.6213873;1.398089;403.753712
9.08511;0.6214507;1.398141;405.485983
9.08511;0.6215139;1.398193;407.216786
9.08511;0.6215771;1.398245;408.947878
9.08511;0.6216403;1.303234;410.677607
9.08511;0.6211874;1.397932;412.408453
9.08511;0.621251;1.397981;414.139582
9.08511;0.6213145;1.398031;415.853062
9.08511;0.6213779;1.398082;417.585627
9.08511;0.6214412;1.398133;419.319084
9.08511;0.6215047;1.398185;421.049108
9.08511;0.6215679;1.398238;422.78087
9.08511;0.621631;1.303234;424.494844
9.08511;0.6211782;1.397925;426.225628
9.08511;0.6212417;1.397974;427.954288
9.08511;0.6213052;1.398024;429.688408
9.08511;0.6213686;1.398074;431.418655
9.08511;0.621432;1.398125;433.132648
9.08511;0.6214954;1.398177;434.86549
9.08511;0.6215586;1.39823;436.595401
9.08511;0.6216217;1.303233;438.328117
9.08511;0.621169;1.397918;440.059458
9.08511;0.6212327;1.397967;441.774727
9.08511;0.6212961;1.398017;443.508054
9.08511;0.6213595;1.398067;445.238482
9.08511;0.6214231;1.398118;446.970073
9.08511;0.6214865;1.39817;448.700139
9.08511;0.6215494;1.398222;450.41701
9.08511;0.6216127;1.303233;452.147827
9.08511;0.6211601;1.397911;453.878809
9.08511;0.6212236;1.39796;455.593763
9.08511;0.6212872;1.39801;457.326506
9.08511;0.6213506;1.39806;459.05857
9.08511;0.6214141;1.398111;460.790356
9.08511;0.6214774;1.398162;462.520233
9.08511;0.6215406;1.398215;464.234049
9.08511;0.6216037;1.303233;465.964485
9.08511;0.621151;1.397904;467.695645
9.08511;0.6212146;1.397953;469.426591
9.08511;0.6212782;1.398003;471.157912
9.08511;0.6213416;1.398053;472.889112
