distance;force;result;datetime
7.568655;0.4758526;6.112629;29.407681
4.418688;0.5153132;3.528281;29.408651
11.84573;0.4222724;10.13991;29.409679
7.487441;0.47687;6.22325;29.410652
8.333932;0.4662658;6.878503;29.411642
10.78525;0.4355574;9.339409;29.412644
4.816337;0.5103317;3.974746;29.413645
7.716225;0.474004;6.628796;29.41464
5.505291;0.587497;1.106463;31.035507
6.759774;0.597231;1.341938;31.069416
7.753431;0.6049412;1.469334;31.087336
9.23667;0.6164502;1.597927;31.104289
8.564956;0.6112381;1.511857;31.106294
9.602154;0.6192862;1.557316;31.121244
11.21851;0.6318281;1.486438;31.139205
12.70168;0.6433366;1.994906;31.190061
7.009354;0.6144354;1.095993;32.909382
8.616192;0.6312023;1.071088;32.943291
9.828677;0.6438542;1.065611;32.994187
11.06025;0.6567053;0.860008;33.011144
11.87041;0.6651591;0.7851422;33.045051
11.88357;0.6652964;0.7961362;33.061973
13.6105;0.6833164;1.820389;33.077965
11.95683;0.6660609;0.7965448;33.078953
6.968629;0.6249868;0.9323202;34.811272
6.479846;0.6189411;0.9989587;34.812273
7.019855;0.6256204;0.9424171;34.82723
13.79448;0.7094155;1.463115;35.04764
10.10174;0.6637402;0.7482312;35.132466
10.34658;0.6667686;2.155781;35.369816
11.75978;0.6842484;-1.555838;35.720973
11.8803;0.6857391;-1.505937;35.730945
7.271309;0.6337498;0.825585;37.506937
8.620538;0.6515703;0.7411466;37.626617
8.726157;0.6529652;0.7236768;37.642609
13.46518;0.7155575;0.992699;37.693464
14.11587;0.7241517;1.439844;37.727347
8.827073;0.6542981;0.8171936;37.730345
11.8853;0.6946907;0.0;37.737322
10.10415;0.6711655;4.183002;38.370332
10.37494;0.6972283;0.0;39.924026
10.8957;0.7053939;0.0;39.944967
6.932849;0.6432556;0.6868959;40.314553
7.445349;0.6512917;1.275283;40.502351
7.411482;0.6507607;2.101882;40.621561
8.441006;0.6669038;3.246747;41.011555
8.354441;0.6655464;3.199179;41.013517
13.4319;0.7451621;2.949308;41.014512
8.794561;0.6970803;0.0;42.562984
9.482596;0.7101201;0.0;42.605861
11.56927;0.7496675;0.7697254;43.179544
12.41539;0.7657034;2.100487;43.631706
11.47748;0.7479278;4.186957;43.66561
7.742436;0.67714;0.0;43.673589
12.73804;0.7718184;3.959823;43.674603
11.59062;0.7500721;3.480195;43.675583
7.059285;0.6913563;0.0;45.19926
7.188438;0.6944068;0.0;45.226187
7.526333;0.7023878;0.0;45.249126
9.961994;0.7599169;1.140936;45.911355
12.85629;0.8282788;-2.041209;45.976182
10.16897;0.7648056;3.214278;46.261987
5.9977;0.6662822;0.8384888;46.277974
5.856101;0.6629376;0.0;46.354747
6.975346;0.6928733;0.0;47.871531
8.115085;0.720486;0.0;47.977284
8.987687;0.7416269;0.0;48.082002
8.914927;0.7398641;0.0;48.089981
5.121788;0.6479666;0.0;48.431645
11.2584;0.7966401;-2.088017;48.56529
9.563596;0.7555796;0.8317764;48.614184
14.07966;0.8649916;-5.429395;49.030054
9.229986;0.7350324;0.0;50.714535
9.367948;0.7381597;0.0;50.735032
9.409254;0.739096;0.0;50.744996
9.555573;0.7424129;0.0;50.762948
11.73917;0.7919114;-2.07463;51.220556
11.98883;0.7975708;-2.234597;51.239543
10.66026;0.7674543;4.051538;51.675411
5.5407;0.6514022;0.9004781;51.676401
7.710916;0.7019445;0.0;53.232958
12.39061;0.8089911;-2.22035;53.911186
9.829963;0.7504171;0.8857539;53.92016
12.58101;0.8133464;-2.162966;53.932142
11.36304;0.7854857;-3.198044;54.175141
5.165639;0.6437221;1.606581;54.177141
5.38741;0.6487951;1.987222;54.223022
13.99917;0.8457863;5.16448;54.324282
7.22108;0.6973792;0.0;55.848365
7.238299;0.6977921;0.0;55.856339
7.649381;0.7076494;0.0;55.892547
7.623921;0.7070388;0.0;55.900502
9.051875;0.7412794;0.0;56.053098
12.4204;0.8220526;-2.400057;56.597637
5.857886;0.6646914;0.9304695;56.864921
9.498927;0.7519992;2.587807;56.983609
7.958243;0.715271;0.0;58.582401
11.23599;0.7939708;-2.091213;59.181529
12.35785;0.820907;-2.441593;59.25061
9.833743;0.7603024;1.212873;59.251591
9.894998;0.7617731;1.805169;59.330426
5.742399;0.6620678;0.6110806;59.634596
10.50662;0.7764584;-3.679409;59.64354
14.01527;0.8607023;-4.660895;59.652517
7.120297;0.6836664;0.0;61.136176
7.587646;0.693975;0.0;61.179063
8.048227;0.7041343;0.0;61.197013
8.977127;0.7246236;0.0;61.282785
11.35119;0.7769896;-2.984243;62.309863
11.49868;0.7802429;-5.363036;62.317814
11.11489;0.7717774;2.94491;62.318815
