distance;force;result;datetime
11,98823;4,895459;10.40737;28.725275
14,1809;3,119396;12.40529;29.334159
12,87217;10,3588;0;30.251302
6,248056;17,28638;5.06124;30.35306
7,5984;14,00079;6.408516;30.420846
11,19815;11,57454;0;30.438798
12,92694;14,7822;11.24161;31.474753
8,140552;17,54164;6.625244;32.017873
5,798173;11,26078;4.562743;33.021719
4,867521;13,61723;4.023217;33.106037
10,57915;8,515576;8.892587;33.512917
8,463417;12,11544;7.247115;33.749285
8,17863;18,46583;6.718241;34.36126
8,362005;19,79339;6.806053;34.549722
9,053628;13,46243;7.477445;35.043434
8,039799;7,752335;6.645837;36.034184
9,683235;7,381239;8.232611;36.203732
7,273363;10,59753;6.001747;36.254565
6,889843;13,40791;5.542134;36.444057
10,49353;9,118695;8.823534;36.681455
6,708723;19,00395;6.078619;37.242149
11,62626;17,56216;11.21276;38.29391
13,30339;5,503889;11.62028;39.364681
10,34032;11,65659;0;39.822488
10,18785;9,873351;8.519566;39.856369
10,29551;13,56465;8.688613;40.484259
7,507433;16,05493;6.621737;41.289256
12,96005;18,92108;17.09813;41.714152
14,22633;18,8755;12.45605;41.833259
9,600503;4,976911;8.07214;42.604051
7,281289;7,826955;6.069716;42.733669
6,093235;12,59012;4.824275;42.971061
5,490725;15,80166;4.56532;43.175505
7,038031;12,88173;6.238797;43.361991
7,789093;18,45268;6.422015;44.991239
13,67238;17,59425;13.3223;45.076751
6,879613;10,38734;5.654281;45.149677
12,85935;6,80483;11.11016;45.152673
13,71065;3,780958;12.06251;45.154666
11,34728;5,585305;9.764627;45.155661
5,614694;17,89573;4.559662;45.156656
13,99921;13,96241;12.31235;45.156656
9,538829;14,30281;8.097291;45.157654
11,98817;5,128073;10.25311;46.109535
8,207316;7,507344;7.137238;46.161363
6,299914;12,84209;5.175752;46.313956
7,784773;11,70433;6.277113;46.805711
9,145463;14,84253;7.620615;47.774241
10,91511;16,87161;9.316422;48.062455
10,52256;17,58049;8.998445;48.080421
8,025688;18,23473;6.593303;48.147244
5,240047;18,9966;4.522957;48.148242
9,495102;3,878647;7.863471;48.149208
13,1243;16,22324;11.39503;48.150204
6,597657;17,29651;5.31172;48.15124
12,2267;14,87891;10.61594;48.153203
5,758794;9,800617;4.821685;48.155193
14,01183;4,521781;12.36863;49.012553
12,47061;5,096503;10.74339;49.114281
5,270122;18,87479;4.3819;49.403523
12,81236;9,991816;11.17636;50.455718
8,644688;18,80588;7.11252;50.642806
14,05046;14,59125;12.27523;50.866224
11,5691;15,385;10.01356;51.001846
7,852304;4,148228;6.855016;51.578253
14,05515;6,123861;12.31819;52.156244
11,01529;7,006933;9.547641;52.273927
8,886742;11,31771;7.621261;52.663884
14,24216;9,101373;12.52577;52.850438
13,32781;12,10488;11.55187;53.258695
