distance;force;result;datetime
7,279273;4,323295;5.818111;9.024798
8,856316;13,31439;7.530175;11.963686
12,47779;15,40562;10.86302;14.813739
13,8819;12,10219;12.17418;17.06184
6,152333;14,21827;4.837663;18.358206
9,75574;4,872947;8.131699;18.426064
6,266913;19,20691;0;19.968551
7,3501;4,720583;5.945644;20.512707
9,333773;18,60165;7.721548;23.177744
9,980881;11,03936;8.544504;23.245559
9,165502;15,21582;7.605102;26.521376
10,81603;8,470067;9.301044;28.020454
10,44085;14,26831;9.019976;30.41249
12,88133;10,55599;0;31.973627
12,16413;12,64324;10.60833;34.316676
8,25196;8,737718;6.703875;35.420362
6,668302;9,121744;5.915082;36.45557
10,49961;11,21564;8.828139;38.657903
13,80817;3,195065;12.12493;38.72572
8,331621;19,47948;6.891461;41.223022
10,29391;9,920558;8.685145;42.831828
6,233164;5,265565;5.40985;43.391335
9,045402;6,0241;7.518404;44.256571
13,98249;9,454552;12.29243;46.022061
5,169114;10,86931;4.048301;46.875781
9,957711;5,77383;8.500379;47.792859
12,89062;13,00145;11.15024;50.191781
7,911687;7,640334;6.415768;51.124308
13,18472;7,280371;11.41261;52.498422
8,575691;18,89448;7.140411;52.566274
5,380982;9,213924;4.47145;53.363878
6,526159;7,493696;5.412893;54.163741
7,070726;19,83003;6.337898;56.489258
10,48256;12,58088;8.956997;58.67807
9,989141;19,71898;8.527219;58.745887
11,8365;10,54041;0;60.323795
5,301009;4,33647;4.49494;60.717288
7,915782;19,11861;6.510025;60.785071
10,54523;7,014651;8.906242;61.9749
9,20517;16,2133;7.708353;64.298567
5,431042;6,758125;4.575671;64.366383
10,29016;6,595311;8.737799;65.452105
9,009275;16,48028;9.116223;68.453815
11,083;16,29495;9.390704;71.270636
11,1514;9,260521;9.689631;72.95398
9,207732;16,20646;7.595788;75.602172
11,27474;19,9292;12.26978;79.144832
6,380663;15,90931;5.142681;80.672965
10,521;10,12246;8.980427;82.369651
12,10148;9,670836;10.36106;84.168074
6,530488;10,12329;5.419457;85.22141
10,58783;4,032116;9.003764;85.933586
12,45458;15,89027;10.84365;88.868432
12,83598;11,3812;11.08177;91.99256
7,858501;5,834044;6.370951;92.688212
5,234355;19,37541;4.579219;94.351381
14,20763;7,621338;12.41581;95.776255
11,69234;8,726174;10.00134;97.40456
12,22955;8,954315;10.67489;99.084728
11,55315;10,18441;9.83331;101.732021
8,069358;9,997736;6.739498;103.004169
9,683465;6,38964;8.040176;103.970771
8,341353;19,75129;6.847449;106.481724
11,28156;7,933257;9.57017;107.918484
6,724377;8,918987;6.079555;107.986302
6,439635;8,064643;5.295172;108.820234
14,20394;10,45502;0;110.380781
10,64138;16,34685;9.015439;113.112368
6,06002;7,496643;4.831364;113.807117
8,533623;3,41885;6.979035;114.282855
11,52388;13,34756;9.983848;116.760496
6,424498;5,796019;5.811193;117.421805
4,751463;3,092349;3.968711;117.693672
9,535819;4,409894;8.13056;118.372953
13,35012;7,291932;11.67605;119.731786
10,33288;8,603167;8.665545;121.140876
6,140062;16,21688;5.121634;122.702027
7,312611;4,31958;6.457334;123.261527
7,659876;6,963249;6.516361;124.144086
12,2396;12,67361;10.49595;126.502888
7,947172;19,82633;6.43634;129.116726
10,07654;19,64011;8.446022;132.171945
9,107396;12,14326;7.601059;133.901745
8,56018;14,02481;0;135.462671
14,0382;4,392196;12.24473;136.311456
5,710546;4,801217;4.574693;136.75282
9,8737;14,03199;8.257283;140.028678
13,65566;5,888477;11.90854;141.132891
5,865506;19,46469;4.628599;142.813891
9,872137;5,457035;8.445767;143.696592
12,91516;18,1861;13.24969;147.057383
10,63149;18,88197;9.080097;147.125209
8,295382;6,461903;6.752552;147.955985
10,71962;3,245427;9.068068;148.516699
13,03149;16,81041;11.5107;151.622357
6,282994;7,633357;5.662489;152.45365
10,91272;15,3384;9.467102;155.138255
5,281207;14,30832;4.492887;155.206037
9,234439;12,36601;7.665947;156.971687
9,622422;18,39722;8.077995;159.722162
4,528427;18,94619;3.600619;161.01217
5,475085;7,149401;4.342444;161.622505
12,06781;5,367084;10.37274;162.657963
5,406553;12,87543;4.625828;162.725784
7,992071;3,808711;6.74163;163.234457
12,50192;7,067886;10.76321;164.557527
10,70576;8,691516;9.0632;164.625315
10,21356;10,94627;8.624172;166.339976
12,49759;5,246861;10.74757;166.407276
14,0037;5,67715;12.29418;167.478967
10,28498;14,52488;8.618718;167.546813
5,573867;12,27902;4.462858;168.598747
9,670111;19,16539;8.289926;168.666566
12,06841;13,54512;10.32977;171.177118
7,473385;14,55835;6.078825;171.245509
11,92002;18,024;11.77839;174.576863
5,484958;14,43435;4.490312;175.798209
4,913415;9,329615;3.897037;175.865607
9,620842;12,04284;8.107597;177.76832
8,814954;10,11147;7.444918;179.178935
10,26475;18,92954;8.733152;179.246753
9,618508;6,744658;8.322586;180.315404
12,36864;16,56706;10.63043;183.373438
9,141939;12,70304;7.704908;185.357793
8,716426;13,04947;7.223172;185.425645
9,310204;4,704933;7.982326;186.156214
11,78305;8,084357;10.06512;187.647943
5,842495;17,43654;4.592075;189.159101
8,033331;11,3752;6.639191;189.226954
13,73058;16,02625;11.96756;192.189374
8,990616;18,21114;7.38927;194.700983
9,120463;12,55194;7.521844;196.482869
5,372712;3,408991;4.309141;196.804976
10,68754;16,91396;9.188807;199.69659
11,28404;13,06375;9.689121;202.038313
6,997797;5,38792;5.611901;202.10617
5,484682;4,745084;4.685352;202.564524
7,898258;12,68493;6.51777;204.108113
7,136066;10,46008;6.116976;205.31296
10,47227;6,699796;9.008709;206.450058
11,4697;9,042858;9.936943;208.128539
7,333075;15,75907;6.441391;210.759203
7,447798;10,23593;6.073791;210.827059
11,38177;3,073707;9.665866;211.42162
9,759526;5,481293;8.12863;212.268963
5,504155;5,439286;4.54377;212.762197
7,027004;7,150322;5.683276;213.560711
11,56417;12,45316;10.00682;215.871397
8,379876;11,49032;7.000812;217.382389
13,34425;11,46744;11.56771;220.541897
12,2921;17,69074;11.811;223.819513
6,478369;13,53898;5.288107;223.887332
5,049156;5,084875;4.350683;224.327219
6,395793;4,834883;5.792559;224.87136
7,3351;17,44976;0;226.381256
7,423234;11,06396;6.117613;227.661289
7,477973;3,699535;6.326227;228.137044
4,850942;11,3782;3.816537;228.951162
7,465467;9,841584;5.989;230.054316
7,302471;19,07492;0;231.818185
11,19042;18,89572;9.631187;231.886003
9,125205;6,596619;7.853235;232.868918
4,996177;5,50374;3.923946;233.293785
8,067155;9,420977;6.57455;234.449718
6,111321;10,54928;5.040748;235.456348
8,358984;7,274871;6.838226;236.388981
7,425681;15,47037;6.404827;239.139394
7,73803;18,9236;6.5453;239.20718
12,39332;4,621968;10.75144;240.089425
4,53926;16,66618;3.596242;241.209925
11,40223;17,21606;9.953397;244.31711
6,650976;4,927805;5.643516;244.860659
8,353854;16,68626;7.012647;244.927989
9,282038;13,01338;7.681066;247.813906
11,07421;16,6122;9.511303;250.736094
12,38414;18,97033;13.70974;254.230628
9,336045;9,554618;7.71343;255.622554
12,63154;14,34729;10.90168;258.292832
6,663966;12,5509;5.671468;259.634303
6,150456;5,132986;4.840004;260.10904
8,324716;3,364893;6.818129;260.548858
13,18599;7,901801;11.55029;262.043034
14,71217;17,78978;14.7904;265.334249
5,842785;18,37667;5.077211;267.18498
