distance;force;result;datetime
9,948433;16,44586;8.602283;203.305488
11,96663;3,688546;10.36353;204.002172
11,26644;-10,93832;9.59789;12.562663
6,375817;-6,219402;5.028404;12.630516
4,686326;-4,589229;137.7906;21.276826
13,10235;-12,70977;11.44486;21.350147
6,607165;-6,442628;5.237786;22.165926
5,699555;-5,566884;4.718261;22.861036
4,754989;-4,655481;3.745847;22.929856
12,1499;-11,79076;10.51786;24.921749
14,66573;-14,21826;12.93758;24.989139
8,972997;-8,725396;7.709485;26.212129
12,96874;-12,58085;11.20375;28.232645
6,990735;-6,812731;5.649684;29.099299
10,88403;-10,56933;9.427121;30.762859
11,54157;-11,20379;10.04316;32.595531
6,070579;-5,924881;4.841839;33.325622
13,23141;-12,8343;11.45657;35.396812
9,142724;-8,889165;7.53007;36.61964
7,197104;-7,011855;5.886428;37.502575
9,211555;-8,955579;7.680095;37.570463
10,836;-10,52299;9.183141;39.198818
11,00553;-10,68657;9.306956;40.862596
10,76652;-10,45595;9.116901;40.930383
9,868379;-9,589342;8.408888;42.312071
11,14204;-10,81829;9.642434;44.060847
6,232964;-6,081565;5.169135;44.128666
10,21219;-9,921082;8.609697;45.590578
6,896707;-6,722004;5.792234;46.472222
11,07626;-10,75482;9.43423;48.177731
4,566407;-4,47352;10.8539;56.884261
14,52432;-14,08182;12.83233;59.142814
12,51497;-12,14301;10.84675;59.210599
11,57329;-11,2344;9.855424;61.025934
6,662071;21,32615;5.423086;13.662008
7,190438;20,92891;7.620018;16.65784
4,904996;22,64716;3.858955;18.286103
10,21954;18,65156;8.719473;21.289425
11,81216;17,45419;11.05114;24.513053
7,362509;20,79954;6.39971;24.580871
7,263987;20,87361;8.285799;27.709135
11,36033;17,79389;10.16907;30.867835
9,041039;19,53758;7.443963;33.549696
9,391424;19,27416;8.096066;36.435147
5,988834;21,8323;0;37.978693
6,522571;21,43103;5.678738;41.337936
12,29903;17,08815;11.20731;44.516087
8,999268;19,56899;7.457039;47.230592
5,859661;21,92942;0;48.942563
6,657146;21,32985;5.497941;51.693249
8,811123;19,71044;7.221906;51.761067
12,28651;17,09756;11.26293;54.935082
8,536171;19,91716;7.043196;57.550983
8,049659;20,28293;6.671616;60.04606
10,65203;18,3264;9.03565;63.117773
9,526133;19,17288;7.891427;65.936624
4,955904;22,60888;4.04489;67.888824
14,229;15,63716;12.44244;70.778765
11,37087;17,78596;10.74372;74.003415
7,343826;20,81359;5.913531;76.552334
6,800056;21,22241;5.829244;76.620155
11,86011;17,41814;11.22157;79.858611
6,774906;21,24131;5.648736;83.13695
11,78557;17,47418;11.03367;86.368016
5,728982;22,02766;0;87.958639
12,42899;16,99044;11.19207;91.113242
7,268739;20,87004;6.226431;91.181061
9,425694;19,24839;7.895524;93.987525
11,11253;17,98019;9.700859;97.114793
5,686604;22,05952;0;98.74365
7,426262;20,75161;6.220437;101.156247
8,830595;19,6958;7.531496;103.906441
12,58052;16,87652;11.2162;107.034238
4,828529;22,70465;3.799862;108.658492
8,834414;19,69293;7.517896;111.409561
13,57895;14,14861;11.81277;15.178273
9,216854;14,14861;7.630104;15.2461
14,72552;14,14861;13.01313;17.878136
11,92567;14,14861;10.19161;17.945957
10,37884;14,14861;8.989819;20.323487
9,949265;14,14861;8.321658;22.715763
6,043406;14,14861;4.784156;22.783602
12,05683;14,14861;10.42823;25.413404
13,97836;14,14861;12.22602;28.04291
13,12584;14,14861;11.42784;30.675623
7,161829;14,14861;6.05986;30.744444
5,288229;10,69681;4.209605;31.610405
