distance;force;result;datetime
7,972929;16,06792;0;14.622362
7,723717;7,322627;6.217627;23.315978
11,5092;11,37437;9.914842;34.198429
8,455425;14,00867;7.04181;34.572169
7,507673;4,900773;6.305774;35.184582
5,81424;10,43926;4.80338;35.523648
9,019676;7,003614;7.714002;35.608419
7,34616;13,71701;5.916661;36.168193
14,26165;8,977064;12.49494;36.270958
7,30805;11,92854;6.029414;36.390244
8,948392;17,26918;7.551782;36.999582
9,733184;15,48004;8.418062;37.033492
14,29607;14,72307;12.59549;37.188084
10,22714;11,44869;8.741283;37.340708
12,22601;14,85196;10.6819;37.458357
12,5213;17,8519;12.44293;37.883725
6,239806;7,295557;4.969182;38.579895
14,24415;5,919888;12.58438;39.004858
12,64124;6,287183;10.91134;39.089667
11,24167;7,788471;9.617133;39.293128
6,373829;15,59463;5.2754;39.446156
8,101181;10,83482;6.79963;39.447152
6,492704;19,25309;0;39.48003
8,76042;12,09403;7.30575;39.530926
12,90731;12,50803;11.15864;40.192127
13,97939;13,78389;12.32631;40.412979
13,84763;13,9733;12.08331;40.480797
13,12269;14,91551;11.35096;40.650926
5,81916;11,30115;5.076788;41.278478
12,19967;3,923484;10.45463;41.398127
6,862675;8,789347;5.708783;41.601616
11,57315;6,035868;9.848943;41.788086
7,064461;10,34103;5.870811;41.805041
13,15971;7,210669;11.42688;42.22948
9,905467;10,45998;8.313578;42.450595
8,423827;17,16257;7.046563;42.893204
13,04828;12,47722;11.27819;43.012427
8,627713;12,22078;7.189147;43.046848
12,72787;16,96889;11.51793;43.81035
8,71274;19,55471;10.24169;43.946987
6,847883;11,41952;5.642739;44.014836
10,97605;9,094114;9.286642;44.015813
10,91044;9,010958;9.244355;44.015813
13,82697;9,425528;12.15022;44.017795
8,778784;4,949819;7.1904;44.017795
7,689169;4,466217;6.613214;44.018794
6,79431;18,79781;5.508871;44.019791
8,568066;18,42392;6.993532;44.020787
13,68428;17,6735;11.99615;44.021785
10,91045;8,572513;9.381464;44.02278
12,49617;5,525994;10.84215;44.02278
10,25258;9,66804;8.586047;44.023778
4,71695;3,039584;3.757784;44.256227
5,270716;10,6973;4.404937;44.920129
13,49129;5,997006;11.75415;45.191434
9,265753;8,159747;7.883658;45.225346
6,730607;12,13988;5.436445;45.258255
12,9414;6,510409;11.22966;45.513542
7,034073;18,58056;0;45.59793
10,16609;11,08678;8.529478;45.972139
9,319722;12,26407;7.731063;46.449165
9,67704;16,71066;8.192319;46.567846
10,89471;19,50788;12.91172;47.364749
13,65481;19,47593;15.6365;47.602173
5,919652;12,87129;5.061217;47.676568
14,03397;15,22625;12.24088;47.677567
9,348627;13,77892;7.724086;47.677567
11,08185;12,20617;9.441704;47.678563
