distance;force;result;datetime
4,745468;10,73449;3.766572;26.711977
8,968731;4,088222;7.372458;27.309381
10,45985;5,161203;8.861168;27.592688
14,23006;8,017885;12.46018;41.972275
6,496978;16,20057;5.340245;44.043614
6,366462;17,85596;5.302998;44.295938
6,797703;19,66346;6.128743;44.44873
10,54132;14,10611;8.883554;44.612291
8,945202;17,0351;7.428105;44.732844
13,50463;12,22085;11.72315;45.03703
7,64662;16,01176;6.290012;45.065954
13,81547;15,74014;12.1571;45.20957
6,389451;3,713404;5.458968;45.643406
6,482222;7,512633;5.580336;46.044864
13,23416;5,238556;11.45932;46.231376
5,934776;11,01608;4.805695;46.248328
9,995399;6,407182;8.376418;46.27027
8,353728;15,28912;0;52.705916
14,49015;8,234916;12.81551;52.725863
10,39808;12,24719;0;52.72686
10,55139;9,249343;8.873517;52.728854
14,23591;7,952866;12.47921;52.729851
10,27577;9,935055;8.86774;52.73085
9,36999;11,54496;7.880626;52.813931
8,621161;13,20069;7.042782;52.871775
13,21398;11,06608;11.46237;53.148046
11,13726;12,60859;9.454464;53.266721
10,01573;17,41187;8.67973;53.858698
7,113575;19,09439;5.788342;53.909523
13,8502;16,314;12.10915;54.083097
11,51762;19,83762;13.20985;58.548395
9,23441;4,433486;7.620627;59.209774
6,052507;8,747139;5.059456;59.406248
9,901815;5,595479;8.325773;59.44411
11,79793;5,121044;10.09443;59.528885
10,65609;16,8983;9.032828;59.545842
6,800685;8,607973;5.989065;59.546836
12,77442;5,588902;11.10544;59.632642
9,870359;7,416822;8.235066;59.71643
7,65077;9,956395;6.152767;59.751337
11,59369;5,970518;9.872726;59.892957
7,522662;11,24078;6.035746;60.012346
10,53526;9,132513;9.020096;60.149421
14,37541;10,85114;0;60.240146
10,67329;9,287089;9.156073;60.254109
8,955135;11,76908;7.385216;60.526382
11,10439;12,8483;9.442387;60.90836
8,104868;19,09731;6.609978;60.925832
13,48675;13,08403;11.87464;60.994649
7,294976;19,99251;6.403151;60.996643
10,02151;15,89106;8.486033;61.065684
11,68655;8,134903;10.03222;61.235821
10,17482;19,40737;8.66521;61.645527
13,34065;11,532;11.68217;61.678468
12,67962;19,90934;15.36961;62.246846
5,835604;4,448986;4.678728;62.693623
12,46861;3,273102;10.83412;62.894053
9,543213;4,565063;8.192139;62.99179
8,381611;6,45443;7.115266;63.132415
5,690419;14,44285;4.596163;63.506416
9,430021;8,807514;7.822947;63.562263
8,504684;9,822458;7.061065;63.613128
6,190075;15,61978;4.886745;63.697901
12,75778;10,66559;0;63.864456
9,905112;8,955626;8.255775;63.95023
6,480546;15,03337;5.123875;63.970175
9,479227;11,25924;8.059834;64.024036
13,81099;10,04544;12.02209;64.198084
6,253602;16,84675;5.677303;64.362644
11,68496;11,88487;10.01801;64.542702
13,78641;10,49069;12.01497;64.920909
11,97338;15,40506;10.26013;65.04458
10,22237;17,84877;9.247431;65.198169
13,81706;16,85109;12.53578;65.383675
13,66429;17,94211;13.86588;65.576159
10,43015;13,22053;8.816875;65.577155
12,63313;18,57071;12.5957;65.688857
11,28331;19,72765;12.90638;65.764652
14,37182;19,75454;17.39356;65.906087
5,232899;5,642369;4.129241;66.380711
10,9606;4,427507;9.278465;66.695875
6,796696;7,097827;5.977819;66.747728
9,106263;6,164649;7.52694;66.798595
13,77684;4,720168;12.099;66.836491
9,4656;6,336814;7.841351;66.871428
7,074574;8,981133;5.75861;66.909304
6,883695;9,381611;5.530196;66.928257
10,39439;6,83072;8.891097;67.061888
4,529463;18,82052;3.621827;67.192544
9,469326;8,775953;8.1013;67.245399
5,367541;16,76557;4.199682;67.247395
10,99612;7,620934;9.354615;67.264348
6,730931;13,55987;5.342393;67.332205
8,233724;11,68822;6.754596;67.494775
6,019838;14,8974;5.449562;67.497769
8,783449;10,99785;7.363554;67.520701
9,435173;9,892248;8.08637;67.537171
11,77899;8,691997;10.23073;67.571078
6,449541;16,51732;5.629926;67.689762
9,436919;11,55099;7.888483;67.801459
11,24768;10,26632;9.602846;67.886236
7,411894;14,3714;6.57333;68.090062
11,82011;14,0935;10.09932;68.523472
7,448262;3,821424;6.338417;69.035136
7,502881;4,713458;6.01985;69.087001
9,374543;4,32109;7.770204;69.204685
11,03287;10,49187;9.371689;69.205647
5,706849;8,454941;4.919824;69.349785
6,488132;9,143076;5.491994;69.489679
6,687055;9,957498;5.347348;69.543537
12,44927;5,894901;10.69852;69.657965
6,834993;9,047732;6.166883;69.691873
6,57425;10,41046;5.742976;69.725785
9,212201;8,376368;7.825197;69.83251
8,434094;9,824696;7.146575;69.94905
6,406647;14,04444;5.772617;69.99896
10,40105;8,126752;8.801557;70.03884
14,1699;8,068982;12.45604;70.108149
13,57789;9,268582;11.89386;70.289695
6,174279;16,97678;5.474143;70.445247
14,10464;7,997458;12.33707;70.548967
5,9536;19,60873;4.761876;70.550963
12,81208;12,68414;11.06858;70.830221
10,69868;15,00279;9.262743;70.976827
13,66959;12,96981;12.02789;71.103013
8,848272;19,206;7.39935;71.346348
11,73239;18,78574;12.45577;72.138333
6,284197;5,392886;5.05427;72.723771
13,5458;3,266578;11.91517;72.786125
7,488197;6,013464;6.297429;72.879947
4,740758;12,27205;3.874789;73.08736
9,39575;6,328476;8.139424;73.139257
7,564572;8,746734;6.073953;73.155177
10,55798;6,03839;8.890847;73.173165
4,977848;15,3031;4.02739;73.297829
8,114995;10,46525;6.774029;73.508237
9,918222;9,025241;8.294502;73.576051
5,935344;17,31953;4.809516;73.723659
8,024199;12,33363;6.538038;73.724659
8,88469;10,96233;7.598918;73.776564
6,639003;18,93878;0;73.777521
12,25988;9,198705;10.61486;73.881269
7,350943;15,53436;6.063735;73.933097
9,496113;12,13938;8.011924;74.073757
12,23344;11,29033;10.51583;74.399431
10,93313;14,55337;9.277087;74.649802
8,36847;19,94246;6.984545;74.719146
12,14093;14,2065;10.47527;74.824376
14,69516;14,75499;13.02468;74.87827
11,19006;17,6826;9.863719;75.285146
10,42282;19,94223;9.639235;75.369925
6,0321;4,461599;4.942417;75.831685
7,150656;6,204552;5.9584;76.099977
6,580974;7,802381;5.74435;76.258074
6,366917;10,46158;5.067928;76.411181
9,348554;7,326374;7.947293;76.516899
8,722092;8,690689;7.212961;76.572756
7,349514;10,6053;6.042387;76.588705
7,673873;11,6741;6.598354;76.830061
9,269508;9,712503;7.75527;76.874941
6,629018;13,23714;5.931746;76.971685
8,200257;11,68342;6.96223;76.973677
7,933948;13,41636;6.559866;77.04748
11,7946;11,80508;10.12512;77.560986
12,68165;11,89533;10.92526;77.627824
11,72735;12,60716;10.01199;77.714606
9,788731;12,2026;8.358751;77.783423
14,84979;13,44854;13.16156;77.784392
12,42451;13,01702;10.69436;77.801343
8,688076;18,36259;7.109718;77.856229
5,936471;18,52173;5.221459;77.874183
12,09371;13,93285;10.36898;77.977426
8,354036;19,6072;8.300445;78.006359
13,136;16,97507;11.65766;78.525026
10,80427;18,68447;10.20705;78.615784
6,772111;3,410996;5.901016;79.054612
8,168264;3,589269;6.967019;79.123446
