distance;force;result;datetime
11.86785;0.4219953;10.17996;14.053483
5.978003;0.4957792;4.648033;14.055479
5.998867;0.4955178;4.799709;14.057472
14.06272;0.3944995;12.18984;14.05847
6.785163;0.4890556;5.311885;16.75129
5.464032;0.5047979;4.606328;16.753285
7.706268;0.4780799;6.119253;16.75428
5.593359;0.5032569;4.877831;16.756281
6.128404;0.4992629;5.480396;19.428761
6.996787;0.4893389;5.590851;19.429755
6.069307;0.4999383;4.872786;19.430724
6.162488;0.4988734;4.774463;19.43172
5.41179;0.5097464;4.362378;22.063117
12.41083;0.4336146;10.6053;22.065111
6.474633;0.4981854;5.039862;22.066108
4.275372;0.5221078;3.359904;22.067108
4.816597;0.5188394;3.713923;24.693126
9.760653;0.4686908;8.173192;24.696121
8.716585;0.4792809;7.057745;24.697123
8.999657;0.4764097;7.301754;24.711078
13.51155;0.4413546;11.6664;27.408177
11.27917;0.4620477;9.634948;27.409175
10.56694;0.4686497;8.933205;27.410143
13.68504;0.4397464;11.88251;27.411139
6.45545;0.5145932;5.179016;30.037763
5.988247;0.5182196;4.68808;30.039725
7.261024;0.5083402;6.058746;30.04073
6.624677;0.5132796;5.932032;30.041719
11.37276;0.4882014;9.558365;32.670291
7.739248;0.5121726;6.263254;32.671289
9.220592;0.5023998;7.522296;32.672288
7.421591;0.5142683;5.97318;32.672288
6.200738;0.5291213;4.836717;35.298657
12.07329;0.4984718;10.34609;35.299652
13.80634;0.4894268;11.98384;35.300622
10.93992;0.504387;9.137791;35.301617
9.760403;0.5251951;8.202342;37.929111
12.7128;0.514883;10.96417;37.930107
5.598102;0.5397331;4.525908;37.931101
14.4473;0.5088247;12.58878;37.932076
12.97562;0.5364871;11.24362;40.560723
10.13686;0.5409367;8.434675;40.561694
8.646349;0.543273;7.203656;40.562691
7.026394;0.5458122;5.767042;40.56369
8.572289;0.5575061;2.794493;42.104992
6.684604;0.5568097;2.203812;42.10599
7.442185;0.5570891;2.426872;42.106988
13.00477;0.5591413;5.066823;42.107985
7.238161;0.5666929;2.20861;43.683241
14.44517;0.5810689;5.545918;43.699179
12.29498;0.5767798;3.740752;43.701185
14.44486;0.5810682;5.597971;43.702174
5.997607;0.572009;1.568047;45.279511
5.231801;0.5692148;1.233289;45.280478
13.05143;0.5977468;3.533995;45.366247
12.99762;0.5975505;3.462966;45.368257
8.816366;0.5934058;1.849022;47.016014
7.948111;0.5889559;1.699938;47.017951
10.87869;0.6039755;2.12536;47.049864
13.27525;0.6162581;3.387934;47.067832
6.451489;0.5883675;1.280956;48.678966
